Name,T90,Flnc,Flnc_err,Pflux1024,Pflux1024_err,Pflux64,Pflux64_err,PfluxBand,PfluxBand_err,Norm,Epk,alpha,alpha_perr,alpha_nerr,beta,W
GRB090419997,166.915,9.5367e-6,2.3759e-7,4.1322,0.1812,5.7716,0.8344,3.845491e-7,6.895959e-8,0.009948749,177.7192,-1.402929,0.1750629,0.1750629,-4.967584,1.41
GRB090422150,9.216,4.587e-7,3.4354e-8,2.3694,0.2386,4.9371,1.3097,1.553732e-7,4.309192e-8,0.1872966,72.25961,0.6689133,0.9639131,0.9639131,-3.48955,0.66
GRB090423330,7.168,8.164e-7,7.15e-8,1.6183,0.2123,4.2363,1.2238,1.519011e-7,1.009946e-7,0.02427044,80.20946,-0.6161758,0.5439942,0.5439942,-7.860589,0.89
GRB090424592,14.144,0.000046323,3.8592e-8,109.511,0.4903,126.671,2.0411,0.00001096896,1.38453e-7,0.414831,186.9056,-0.8428213,0.02381139,0.02381139,-2.938811,1.04
GRB090427688,12.288,1.6151e-6,3.1825e-8,2.5486,0.236,5.0337,1.0919,1.973966e-7,4.585902e-8,0.1234243,81.87187,0.377343,0.5593471,0.5593471,-4.312979,0.67
GRB090428441,3.968,1.04e-6,6.2717e-8,6.2868,0.2473,9.2086,1.0496,5.450266e-7,9.08999e-8,0.08881208,97.35097,-0.3854147,0.222631,0.222631,-6.08931,0.82
GRB090428552,31.488,5.6027e-6,1.2415e-7,7.6133,0.24,9.8693,1.1576,6.492039e-7,6.917758e-8,0.01910854,76.79301,-1.495769,0.28796,0.28796,-2.067303,5.49
GRB090429753,0.64,1.1183e-6,4.3313e-8,3.8994,0.1542,8.6176,0.8257,1.011789e-6,6.647593e-8,0.008422407,1852.24,-1.013729,0.08420411,0.08420411,-9.028505,1.07
GRB090502777,66.048,3.5024e-6,2.8513e-8,5.2761,0.3313,8.7928,1.5777,3.795294e-7,1.142814e-7,0.04262391,81.65994,-0.8313326,0.2500957,0.2500957,-10.30893,0.98
GRB090511684,7.616,2.4936e-6,8.4677e-8,3.4632,0.185,5.5577,0.7957,3.684098e-7,5.29015e-8,0.02315322,171.7613,-0.4100367,0.2651866,0.2651866,-8.89864,0.83
GRB090514726,2.24,2.2452e-6,3.1326e-8,7.9767,0.2634,13.4603,1.118,1.567142e-6,1.111778e-7,0.04231641,280.7212,-0.6298806,0.121456,0.121456,-4.151076,0.90
GRB090516137,118.018,0.000016841,1.8461e-7,3.0245,0.1706,4.5804,0.8365,6.349204e-7,8.247363e-8,0.01029242,436.4696,-0.8792957,0.1665323,0.1665323,-13.17884,1.00
GRB090518080,2.048,9.91e-7,2.6667e-8,4.7546,0.3064,9.7452,5.0456,4.373808e-7,8.083557e-8,0.01285542,190.0029,-1.208219,0.2264841,0.2264841,-13.13569,1.21
GRB090518244,6.784,2.1052e-6,6.8263e-8,4.9578,0.2225,7.0966,1.0216,7.787784e-7,8.311387e-8,0.1229246,116.9131,0.2326938,0.4002949,0.4002949,-2.314941,1.38
